resume_id,file,category,error
1281,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_48.pdf,SQL Developer,No extractable text
1282,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_9.pdf,SQL Developer,No extractable text
1283,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_74.pdf,SQL Developer,No extractable text
1284,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_60.pdf,SQL Developer,No extractable text
1285,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_61.pdf,SQL Developer,No extractable text
1286,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_75.pdf,SQL Developer,No extractable text
1287,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_8.pdf,SQL Developer,No extractable text
1288,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_49.pdf,SQL Developer,No extractable text
1289,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_88.pdf,SQL Developer,No extractable text
1290,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_63.pdf,SQL Developer,No extractable text
1291,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_77.pdf,SQL Developer,No extractable text
1292,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_76.pdf,SQL Developer,No extractable text
1293,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_66.pdf,SQL Developer,No extractable text
1294,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_72.pdf,SQL Developer,No extractable text
1295,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_73.pdf,SQL Developer,No extractable text
1296,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_67.pdf,SQL Developer,No extractable text
1297,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_98.pdf,SQL Developer,No extractable text
1298,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_71.pdf,SQL Developer,No extractable text
1299,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_65.pdf,SQL Developer,No extractable text
1300,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_59.pdf,SQL Developer,No extractable text
1301,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_64.pdf,SQL Developer,No extractable text
1302,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_70.pdf,SQL Developer,No extractable text
1303,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_96.pdf,SQL Developer,No extractable text
1304,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_82.pdf,SQL Developer,No extractable text
1305,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_69.pdf,SQL Developer,No extractable text
1306,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_55.pdf,SQL Developer,No extractable text
1307,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_41.pdf,SQL Developer,No extractable text
1308,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_40.pdf,SQL Developer,No extractable text
1309,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_54.pdf,SQL Developer,No extractable text
1310,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_83.pdf,SQL Developer,No extractable text
1311,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_97.pdf,SQL Developer,No extractable text
1312,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_81.pdf,SQL Developer,No extractable text
1313,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_95.pdf,SQL Developer,No extractable text
1314,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_42.pdf,SQL Developer,No extractable text
1315,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_56.pdf,SQL Developer,No extractable text
1316,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_3.pdf,SQL Developer,No extractable text
1317,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_57.pdf,SQL Developer,No extractable text
1318,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_94.pdf,SQL Developer,No extractable text
1319,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_80.pdf,SQL Developer,No extractable text
1320,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_84.pdf,SQL Developer,No extractable text
1321,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_90.pdf,SQL Developer,No extractable text
1322,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_47.pdf,SQL Developer,No extractable text
1323,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_6.pdf,SQL Developer,No extractable text
1324,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_53.pdf,SQL Developer,No extractable text
1325,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_7.pdf,SQL Developer,No extractable text
1326,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_52.pdf,SQL Developer,No extractable text
1327,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_46.pdf,SQL Developer,No extractable text
1328,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_93.pdf,SQL Developer,No extractable text
1329,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_50.pdf,SQL Developer,No extractable text
1330,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_5.pdf,SQL Developer,No extractable text
1331,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_78.pdf,SQL Developer,No extractable text
1332,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_79.pdf,SQL Developer,No extractable text
1333,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_45.pdf,SQL Developer,No extractable text
1334,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_51.pdf,SQL Developer,No extractable text
1335,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_86.pdf,SQL Developer,No extractable text
1336,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_36.pdf,SQL Developer,No extractable text
1337,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_22.pdf,SQL Developer,No extractable text
1338,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_23.pdf,SQL Developer,No extractable text
1339,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_37.pdf,SQL Developer,No extractable text
1340,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_35.pdf,SQL Developer,No extractable text
1341,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_34.pdf,SQL Developer,No extractable text
1342,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_24.pdf,SQL Developer,No extractable text
1343,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_30.pdf,SQL Developer,No extractable text
1344,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_18.pdf,SQL Developer,No extractable text
1345,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_19.pdf,SQL Developer,No extractable text
1346,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_31.pdf,SQL Developer,No extractable text
1347,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_25.pdf,SQL Developer,No extractable text
1348,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_33.pdf,SQL Developer,No extractable text
1349,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_27.pdf,SQL Developer,No extractable text
1350,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_26.pdf,SQL Developer,No extractable text
1351,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_32.pdf,SQL Developer,No extractable text
1380,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Software Engineer/se12.pdf,Software Engineer,No extractable text
1426,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Software Engineer/Hisham-Resume.pdf,Software Engineer,No extractable text
1436,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Software Engineer/resume (5).pdf,Software Engineer,No extractable text
1509,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Technology Consultant/Hisham-Resume (1).pdf,Technology Consultant,No extractable text
1535,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_17.pdf,Testing and QA,No extractable text
1536,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_28.pdf,Testing and QA,No extractable text
1537,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_15.pdf,Testing and QA,No extractable text
1538,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_29.pdf,Testing and QA,No extractable text
1539,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_11.pdf,Testing and QA,No extractable text
1540,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_38.pdf,Testing and QA,No extractable text
1541,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_10.pdf,Testing and QA,No extractable text
1542,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_12.pdf,Testing and QA,No extractable text
1543,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_48.pdf,Testing and QA,No extractable text
1544,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_9.pdf,Testing and QA,No extractable text
1545,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_74.pdf,Testing and QA,No extractable text
1546,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_61.pdf,Testing and QA,No extractable text
1547,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_88.pdf,Testing and QA,No extractable text
1548,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_63.pdf,Testing and QA,No extractable text
1549,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_77.pdf,Testing and QA,No extractable text
1550,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_62.pdf,Testing and QA,No extractable text
1551,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_89.pdf,Testing and QA,No extractable text
1552,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_66.pdf,Testing and QA,No extractable text
1553,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_72.pdf,Testing and QA,No extractable text
1554,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_73.pdf,Testing and QA,No extractable text
1555,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_67.pdf,Testing and QA,No extractable text
1556,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_98.pdf,Testing and QA,No extractable text
1557,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_71.pdf,Testing and QA,No extractable text
1558,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_65.pdf,Testing and QA,No extractable text
1559,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_58.pdf,Testing and QA,No extractable text
1560,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_64.pdf,Testing and QA,No extractable text
1561,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_70.pdf,Testing and QA,No extractable text
1562,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_96.pdf,Testing and QA,No extractable text
1563,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_82.pdf,Testing and QA,No extractable text
1564,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_69.pdf,Testing and QA,No extractable text
1565,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_40.pdf,Testing and QA,No extractable text
1566,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_1.pdf,Testing and QA,No extractable text
1567,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_68.pdf,Testing and QA,No extractable text
1568,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_83.pdf,Testing and QA,No extractable text
1569,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_97.pdf,Testing and QA,No extractable text
1570,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_81.pdf,Testing and QA,No extractable text
1571,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_95.pdf,Testing and QA,No extractable text
1572,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_56.pdf,Testing and QA,No extractable text
1573,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_3.pdf,Testing and QA,No extractable text
1574,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_80.pdf,Testing and QA,No extractable text
1575,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_84.pdf,Testing and QA,No extractable text
1576,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_47.pdf,Testing and QA,No extractable text
1577,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_46.pdf,Testing and QA,No extractable text
1578,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_91.pdf,Testing and QA,No extractable text
1579,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_85.pdf,Testing and QA,No extractable text
1580,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_93.pdf,Testing and QA,No extractable text
1581,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_87.pdf,Testing and QA,No extractable text
1582,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_50.pdf,Testing and QA,No extractable text
1583,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_5.pdf,Testing and QA,No extractable text
1584,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_44.pdf,Testing and QA,No extractable text
1585,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_78.pdf,Testing and QA,No extractable text
1586,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_45.pdf,Testing and QA,No extractable text
1587,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_51.pdf,Testing and QA,No extractable text
1588,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_4.pdf,Testing and QA,No extractable text
1589,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_92.pdf,Testing and QA,No extractable text
1590,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_36.pdf,Testing and QA,No extractable text
1591,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_22.pdf,Testing and QA,No extractable text
1592,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_37.pdf,Testing and QA,No extractable text
1593,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_35.pdf,Testing and QA,No extractable text
1594,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_20.pdf,Testing and QA,No extractable text
1595,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_24.pdf,Testing and QA,No extractable text
1596,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_30.pdf,Testing and QA,No extractable text
1597,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_18.pdf,Testing and QA,No extractable text
1598,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_31.pdf,Testing and QA,No extractable text
1599,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_25.pdf,Testing and QA,No extractable text
1600,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_33.pdf,Testing and QA,No extractable text
1601,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_27.pdf,Testing and QA,No extractable text
1602,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Testing and QA/Image_26.pdf,Testing and QA,No extractable text
